"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4012","Adicionar um novo livro","Administraçao de livros","2026-08-13","passed","2026-08-13","","","",""
"","4403","Editar um livro existente","Administraçao de livros","2026-08-13","passed","2026-08-13","","","",""
"","4762","Adicionar novos livros com tabela de exemplos","Administração de livros Hub de Leitura","2026-08-13","skipped","2026-08-13","","","",""
"","2203","Adicionar um livro sem autor","Administraçao de livros","2026-08-13","passed","2026-08-13","","","",""
"","4262","Excluir um livro existente","Administraçao de livros","2026-08-13","passed","2026-08-13","","","",""
"","3593","Adicionar livros usando exquema do cenário - Livro: ""Era uma vez em Hollywood"" (example #5)","Administração de livros Hub de Leitura","2026-08-13","passed","2026-08-13","","","",""
"","3763","Adicionar livros usando exquema do cenário - Livro: ""D&D 5e Livro do Jogador"" (example #2)","Administração de livros Hub de Leitura","2026-08-13","passed","2026-08-13","","","",""
"","3493","Adicionar livros usando exquema do cenário - Livro: ""O Iuminado"" (example #4)","Administração de livros Hub de Leitura","2026-08-13","passed","2026-08-13","","","",""
"","4645","Adicionar livros usando exquema do cenário - Livro: ""D&D 5e Livro do Mestre"" (example #1)","Administração de livros Hub de Leitura","2026-08-13","passed","2026-08-13","","","",""
"","3634","Adicionar livros usando exquema do cenário - Livro: ""D&D 5e Livro dos Monstros"" (example #3)","Administração de livros Hub de Leitura","2026-08-13","passed","2026-08-13","","","",""
